"player-name","tablescraper-selected-row","tablescraper-selected-row 2","tablescraper-selected-row 3","tablescraper-selected-row 4","tablescraper-selected-row 5","tablescraper-selected-row 6","tablescraper-selected-row 7","tablescraper-selected-row 8","tablescraper-selected-row 9","tablescraper-selected-row 10","tablescraper-selected-row 11","tablescraper-selected-row 12","tablescraper-selected-row 13","tablescraper-selected-row 14","tablescraper-selected-row 15","tablescraper-selected-row 16","tablescraper-selected-row 17","tablescraper-selected-row 18","tablescraper-selected-row 19","footable-last-visible"
"Urrutia Cordoba, Sixto","2","19:03","1","4","1","25","3","0","0","0","0","0","3","0","3","3","1","1","1","4"
"Urrutia Solis, Agustin A.","2","20:28","0","4","0","0","7","3","42.9","0","0","0","6","2","2","4","4","0","3","2"
"Urtubia Baeza, Juan P.","4","14:45","4","3","0","0","4","0","0","0","0","0","0","2","4","6","1","1","2","4"
"Valdebenito Maldonado, Lucas","6","155:42","14","19","4","21.1","46","21","45.7","19","13","68.4","67","10","24","34","8","0","14","16"
"Valdes Fuentes, Fabian","3","56:40","4","1","0","0","20","9","45","0","0","0","18","10","8","18","2","0","2","2"
"Valdes Olivos, Agustin","4","66:17","3","19","10","52.6","13","7","53.8","0","0","0","44","1","5","6","6","1","7","5"
"Valdes Ortiz, Sergio","4","36:01","4","5","0","0","8","4","50","1","1","100","9","3","2","5","2","0","0","1"
"Valdes Reveco, Pablo","2","52:31","3","9","1","11.1","25","9","36","4","3","75","24","3","8","11","6","1","5","10"
"Valenzuela Martinez, Esteban","2","19:36","0","1","1","100","1","0","0","0","0","0","3","1","2","3","0","0","0","5"
"Valenzuela Pacheco, Felipe","1","5:25","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","1"
"Vallejos Carrasco, Emilio","6","92:26","8","2","0","0","7","1","14.3","0","0","0","2","8","5","13","3","0","7","19"
"Vallejos Munoz, Joaquin","2","12:25","1","1","0","0","6","2","33.3","0","0","0","4","1","1","2","0","0","1","3"
"Vallejos Trivino, Joaquin A.","3","22:28","5","0","0","0","6","0","0","4","3","75","3","0","2","2","0","0","0","2"
"Vallejos Vallejos, Felipe I.","1","2:42","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Varela Cardenas, Guillermo","1","7:07","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","0","0"
"Vargas Caballero, Nicolas A.","4","126:45","10","24","11","45.8","36","23","63.9","7","3","42.9","82","5","26","31","8","3","13","9"
"Vargas Riquelme, Rodrigo A.","7","156:24","20","27","4","14.8","18","5","27.8","3","1","33.3","23","6","20","26","12","0","10","13"
"Varo Gutierrez, Nicolas","2","21:55","2","2","1","50","9","7","77.8","0","0","0","17","1","2","3","3","0","4","4"
"Vasquez Navarrete, Emanuel","6","118:13","13","26","7","26.9","11","5","45.5","2","1","50","32","2","10","12","8","0","13","9"
"Vega Cabeza, Ignacio","2","7:13","0","2","0","0","1","1","100","0","0","0","2","0","0","0","0","0","1","2"
"Vega Silva, Cristobal","5","95:17","10","4","1","25","14","4","28.6","18","9","50","20","8","10","18","9","0","4","12"
