"pbp-action","pbp-logo src","pbp-action 2","pbp-time","pbp-period"
", Rebote ofensivo","https://se-img.dcd-production.i.geniussports.com/2486f00667ff3afc356daad5104c02e2T1.png","14, Alfredo Alvarez Flanega","02:39:00","P1"
", 2PT bandeja","https://se-img.dcd-production.i.geniussports.com/2486f00667ff3afc356daad5104c02e2T1.png","14, Alfredo Alvarez Flanega","02:37:00","P1"
", Rebote ofensivo","https://se-img.dcd-production.i.geniussports.com/2486f00667ff3afc356daad5104c02e2T1.png","15, Daniel Morales Gonzalez","02:34:00","P1"
", 2PT bandeja  convertido","https://se-img.dcd-production.i.geniussports.com/2486f00667ff3afc356daad5104c02e2T1.png","15, Daniel Morales Gonzalez","02:33:00","P1"
", Pérdida en el manejo del balón","https://se-img.dcd-production.i.geniussports.com/c3e538b0395f1fdcfcbdef24c556c602T1.jpg","10, Damian A. Espinoza Salinas","02:23:00","P1"
", Recuperación","https://se-img.dcd-production.i.geniussports.com/2486f00667ff3afc356daad5104c02e2T1.png","11, Gonzalo Rojo Arqueros","02:23:00","P1"
", Pérdida en el manejo del balón","https://se-img.dcd-production.i.geniussports.com/2486f00667ff3afc356daad5104c02e2T1.png","9, Lian Castro Castillo","02:12:00","P1"
", Recuperación","https://se-img.dcd-production.i.geniussports.com/c3e538b0395f1fdcfcbdef24c556c602T1.jpg","14, Pablo F. Fierro Velasquez","02:12:00","P1"
"TIEMPO MUERTO","https://se-img.dcd-production.i.geniussports.com/c3e538b0395f1fdcfcbdef24c556c602T1.jpg","","02:08:00","P1"
", Se retira","https://se-img.dcd-production.i.geniussports.com/c3e538b0395f1fdcfcbdef24c556c602T1.jpg","14, Pablo F. Fierro Velasquez","02:08:00","P1"
", Entra a pista","https://se-img.dcd-production.i.geniussports.com/c3e538b0395f1fdcfcbdef24c556c602T1.jpg","21, Ruben A. Godoy Santana","02:08:00","P1"
", Se retira","https://se-img.dcd-production.i.geniussports.com/2486f00667ff3afc356daad5104c02e2T1.png","14, Alfredo Alvarez Flanega","01:50:00","P1"
", Entra a pista","https://se-img.dcd-production.i.geniussports.com/2486f00667ff3afc356daad5104c02e2T1.png","7, Nicolas Ortiz de Zarate","01:50:00","P1"
", 2PT tiro","https://se-img.dcd-production.i.geniussports.com/c3e538b0395f1fdcfcbdef24c556c602T1.jpg","21, Ruben A. Godoy Santana","01:44:00","P1"
", Rebote defensivo","https://se-img.dcd-production.i.geniussports.com/2486f00667ff3afc356daad5104c02e2T1.png","7, Nicolas Ortiz de Zarate","01:40:00","P1"
", 2PT bandeja","https://se-img.dcd-production.i.geniussports.com/2486f00667ff3afc356daad5104c02e2T1.png","7, Nicolas Ortiz de Zarate","01:40:00","P1"
", Rebote defensivo","https://se-img.dcd-production.i.geniussports.com/c3e538b0395f1fdcfcbdef24c556c602T1.jpg","21, Ruben A. Godoy Santana","01:36:00","P1"
", Pérdida por mal pase","https://se-img.dcd-production.i.geniussports.com/c3e538b0395f1fdcfcbdef24c556c602T1.jpg","8, Gasphar Caneo Salinas","01:34:00","P1"
", Recuperación","https://se-img.dcd-production.i.geniussports.com/2486f00667ff3afc356daad5104c02e2T1.png","9, Lian Castro Castillo","01:34:00","P1"
", Falta en ataque","https://se-img.dcd-production.i.geniussports.com/2486f00667ff3afc356daad5104c02e2T1.png","9, Lian Castro Castillo","01:28:00","P1"
