T-R Separation Distance (m),Time Delay (ns),Received Power (dBm), Phase (rad),Azimuth AoD (degree),Elevation AoD (degree),Azimuth AoA (degree),Elevation AoA (degree),Path Loss (dB),RMS Delay Spread (ns),Classes
34.1,164,-74,4.3,311,-24.6,135.3,24,94.8,17.1,1
34.1,168,-67.8,4.6,290,-29.2,127,22,92.1,22.7,1
34.1,169,-64.6,1.8,304,-22.5,116.5,30,94.3,9.3,1
34.1,175,-58.9,4,307,-17,83.5,8,88.9,2.3,1
34.1,279,-66.3,3.9,290,-23.5,97.4,26,96.1,36.1,1
34.1,446,-100,0.7,290,-22,107,18,107.8,62.6,1
34.1,452,-108.9,1.2,283,-24.1,25.4,3,91.8,2.4,1
34.1,456,-102.5,5.4,302,-17.4,91.3,-1,107.4,28.9,1
34.1,456,-103.4,3.7,291,-21,90.9,17,106.3,72.2,1
34.1,461,-106,3.9,280,-22.4,32.7,16,117.5,54.8,1
34.1,465,-111.5,4.7,279,-24.4,103.2,22,114.6,43.2,1
34.1,469,-102.1,0.6,270,-20.8,16.1,26,124.5,127.7,0
34.1,474,-106.1,0.2,282,-21.8,35.4,19,117,53.9,1
34.1,480,-119.7,3.5,297,-22.7,105.6,19,104.9,45.9,1
34.1,483,-118.8,0.9,293,-23.3,50.3,24,98.3,5.9,1
34.1,491,-113.9,0.8,278,-20.5,104.3,13,120.9,32.6,0
34.1,496,-129.8,1.8,276,-25.6,95.1,18,121.6,56.7,0
34.1,502,-112.2,2.5,280,-20.3,33.3,12,114,28.9,1
34.1,504,-123.8,0.8,289,-23.4,57,27,105.9,15.7,1
34.1,511,-119.3,4.5,280,-24.2,127,47,124.1,39.6,0
34.1,518,-115.8,1.8,288,-25.2,121.3,25,102.5,22.1,1
34.1,524,-129.5,3.3,290,-22,99.3,14,107.2,59,1
34.1,532,-131.9,5.4,280,-25.3,38.9,1,114.2,16.5,1
34.1,535,-126,5,289,-23.9,28.6,15,104.3,13.5,1
34.1,540,-126.6,1.2,294,-21.8,35.8,20,106,12.9,1
34.1,548,-132.6,2,287,-21.1,12.7,9,112.6,27.5,1
34.1,556,-133.7,2.5,285,-21.3,109.2,-1,115.9,32.4,1
34.1,559,-142.4,4.1,292,-20.5,25.3,11,92.6,2.9,1
34.1,567,-129.9,4.1,274,-21.6,99.3,2,122.6,10.7,0
34.1,571,-138.5,4.7,280,-25.9,91.1,15,119.7,55.9,1
34.1,581,-146.7,5.2,298,-24.5,17.2,-4,92.8,2.5,1
34.1,584,-141.8,2.5,288,-25.2,38.5,10,107.7,18.9,1
34.1,590,-146.9,2.9,293,-27.8,41.2,11,106.7,12.5,1
34.1,597,-134.7,2.8,268,-24.6,85.6,8,118.9,14.1,1
34.1,766,-160,1.5,283,-17.2,31,17,118.1,40.9,1
34.1,771,-151,4.1,281,-24.5,55.2,7,122.8,38.4,0
34.1,771,-160,6.2,295,-17.9,106.5,33,109,48.3,1
34.1,777,-159.8,0.1,285,-19.4,116,22,113,29.4,1
34.1,781,-157,6.1,271,-18.1,48.3,15,121.2,7.6,0
34.1,783,-160,3,274,-21.8,29.4,32,105.5,1.2,1
34.1,792,-160,2.3,258,-20.9,24.4,13,124.1,8.4,0
34.1,796,-160,4.2,272,-20.4,114.7,23,122.2,14.8,0
34.1,801,-160,4.6,293,-26.1,107.6,22,105.8,61.7,1
34.1,809,-160,3.5,284,-25.6,34.7,-1,98.3,6.2,1
34.1,812,-160,3.1,277,-23.7,41.7,12,114,10.2,1
34.1,818,-160,5.1,283,-21.4,28.3,7,98,4,1
34.1,822,-160,0.4,283,-18.1,85.3,14,117.8,32.7,1
34.1,827,-160,2.6,283,-24.3,106.3,26,110.6,52.4,1
34.1,839,-160,1.3,288,-24.1,47.3,-9,110.3,25.5,1
34.1,839,-160,0.6,287,-22.4,116.8,26,110.5,30.3,1
34.1,845,-160,3.2,282,-22.7,105.9,20,114.9,68.6,1
34,114,-44.6,3.4,346,-24.5,162.8,15,74.6,0.1,1
34,118,-67.7,1.2,296,-23.9,25.6,1,97.6,6.3,1
34,118,-67.2,5.6,307,-26.6,137,17,90,7.8,1
34,121,-55.8,4.2,349,-21.2,141.9,11,85.7,0.7,1
34,118,-58.1,2.3,291,-19.2,44.8,30,88.1,1.1,1
34,125,-58.7,2.5,337,-19.3,37.3,10,88.7,0.5,1
34,129,-57.8,6.2,309,-22.3,136.6,19,87.4,5.5,1
34,134,-68.8,6.2,340,-15.1,170.4,24,97.9,8.1,1
34,136,-62.7,0.1,308,-26.1,127.1,11,92.5,3.9,1
34,142,-56.3,4.3,305,-20.5,35.9,-2,86.3,0.6,1
34,134,-59.2,0.3,277,-16.8,29.8,41,89.2,0.1,1
34,152,-80.2,5.8,310,-23.4,105.4,-16,108.6,9.6,1
34,146,-69.9,0.2,310,-26.3,99.5,11,99.7,3.4,1
34,152,-69.7,4.8,321,-27.8,164.5,23,99.4,8.9,1
34,152,-60.6,2.3,318,-28.2,136.8,19,90.2,6.6,1
34,157,-69,1,310,-23.7,135.5,12,91.8,12,1
34,162,-68,0.8,323,-19.3,34,-1,97.9,2.8,1
34,162,-64.7,4.8,293,-30.7,125.2,14,94.5,2.2,1
34,164,-65.9,4.3,321,-24.9,145.3,24,95.4,4.7,1
34,168,-65,4.5,295,-30,131.9,21,94.8,3.8,1
34,168,-60.8,1.6,309,-22.7,121.4,29,90.8,2.2,1
34,175,-67.5,3.9,313,-15.9,90.3,8,97.5,2.9,1
34,278,-68.4,3.7,293,-24,100.4,25,98.4,13.7,1
34,446,-106.7,0.5,293,-22.6,110.1,17,115.1,79.9,1
34,452,-114.2,1.1,284,-24.2,25.1,3,115.3,16.9,1
34,457,-104.9,5.4,304,-17.1,93.8,-1,114.4,33.6,1
34,456,-112.8,3.6,294,-21.5,93.5,16,112.9,70.9,1
34,460,-104.6,3.7,283,-22.9,32.2,16,122,78.6,0
34,464,-103.8,4.5,281,-24.9,105.1,22,118.4,62.9,1
34,468,-115.9,0.4,270,-20.9,15.8,26,125.5,32.9,0
34,473,-119.6,6.3,285,-22.2,35.1,18,121.5,63.9,0
34,479,-115.6,3.3,300,-23.1,108.6,19,114.4,71.1,1
34,482,-111,0.7,295,-23.6,50.6,23,103.5,10.3,1
34,491,-110.7,0.7,280,-21.2,106.9,13,121.8,47.9,0
34,495,-123.3,1.7,278,-26.1,96.8,17,126.7,61.4,0
34,501,-126.3,2.4,280,-20.3,33.1,12,118.3,35.6,1
34,502,-110.9,0.5,289,-23.4,56.9,27,110.2,19.6,1
34,510,-118.7,4.3,281,-24.6,129.3,46,126.5,37.1,0
34,517,-122,1.7,291,-25.8,124.3,24,105.8,10.7,1
34,524,-115.2,3.2,292,-22.2,100.8,13,113.5,75.1,1
34,532,-123.5,5.3,280,-25.4,38.8,1,117,10.3,1
34,534,-119.3,4.9,291,-24.3,28,14,117.6,46.1,1
34,539,-135.2,1,294,-21.9,35.6,20,113.3,26.8,1
34,548,-136.3,2,289,-21.5,11.4,9,118.6,38.2,1
34,556,-118.7,2.5,286,-21.6,110.7,-1,121.1,38.1,0
34,559,-135.2,4,294,-20.8,24.6,11,110.7,18.7,1
34,567,-135.9,4.1,276,-22.3,101.4,2,122.4,9.1,0
34,570,-124.6,4.5,283,-26.6,93.1,15,125.7,65.4,0
34,581,-142.9,5.2,298,-24.6,16.9,-4,110,15,1
34,584,-139.3,2.4,288,-25.3,38.4,10,116.8,32.4,1
34,589,-141.4,2.8,296,-28.1,41.2,11,117.2,32.7,1
34,597,-149.3,2.7,270,-25.1,86.8,8,126.7,25.2,0
34,765,-156.5,1.4,283,-17.2,30.9,17,121.1,44.2,0
34,770,-160,4.1,283,-24.4,56.5,7,126.1,30.6,0
34,770,-160,6,296,-18,107.6,32,114.9,74.6,1
34,776,-153.7,6.2,286,-19.6,117.1,22,119.5,30.2,1
34,780,-160,6,273,-18.4,48.4,14,121.3,5.5,0
34,781,-160,2.8,274,-21.8,29.3,32,103.6,0.7,1
34,791,-160,2.2,258,-20.9,24.3,13,132.1,14.8,0
34,795,-160,4.1,273,-20.6,115.9,22,122,14.9,0
34,800,-160,4.5,294,-26.2,108.7,21,108.7,36.3,1
34,810,-160,3.5,285,-25.9,34.5,-1,114.5,18,1
34,811,-160,3,277,-23.7,41.6,12,119.7,11.1,1
34,818,-160,5,284,-21.7,27.9,7,117.4,21.7,1
34,821,-160,0.3,284,-18.2,86.2,14,121.4,21.2,0
34,826,-160,2.5,284,-24.5,107.4,26,113.6,40,1
34,839,-160,1.4,290,-24.4,47.4,-9,119.8,49.1,1
34,838,-160,0.4,288,-22.5,117.9,26,118,38,1
34,844,-160,3,283,-22.9,106.9,20,117.8,68.9,1
33.9,114,-52.3,3.4,359,-21.8,175.3,17,82.3,0.8,1
33.9,118,-55.5,1.2,298,-24.3,24.5,1,85.5,1,1
33.9,118,-60.1,5.6,313,-26.8,142.7,17,87.9,13.8,1
33.9,121,-52.3,4.1,1,-18.6,155.7,12,82.3,0,1
33.9,116,-62.4,2,292,-19.4,44.4,30,92.4,1.1,1
33.9,125,-53.9,2.4,345,-18.2,36.6,8,83.9,0.3,1
33.9,129,-61,6.2,315,-22.3,141.7,19,88.3,12.4,1
33.9,134,-51.2,6.3,351,-14,180.4,26,81.2,0.7,1
33.9,136,-62.5,0.1,313,-26.3,132.2,11,91.2,9.5,1
33.9,142,-63.6,4.3,307,-20.8,35.3,-2,93.5,3,1
33.9,132,-57.8,6.3,277,-17,29,41,87.8,0.1,1
33.9,152,-73.8,5.9,315,-23.5,110.1,-15,103.5,5.3,1
33.9,146,-64.3,0.1,316,-26.4,104.3,11,94.3,1.6,1
33.9,152,-64.3,4.9,332,-27.5,173.3,24,94.2,2.4,1
33.9,151,-78.1,2.3,330,-28,147.4,19,104.7,8.8,1
33.9,157,-59.9,1,314,-23.7,139.7,12,88.2,15.6,1
33.9,162,-65.1,0.8,330,-18.9,33.1,-1,95.1,2.4,1
33.9,162,-68.2,4.8,298,-31.5,130,14,97.8,3.7,1
33.9,164,-64.6,4.3,331,-24.6,155.1,25,94.6,1,1
33.9,167,-65.4,4.4,300,-30.6,136.5,21,95.3,4.6,1
33.9,167,-80.8,1.5,314,-22.8,126.2,29,109.4,15.1,1
33.9,174,-79.2,3.8,318,-14.7,97.1,8,108.6,9.9,1
33.9,277,-71.3,3.5,296,-24.4,103.4,24,101.1,30.5,1
33.9,445,-112.8,0.4,297,-23.1,113.3,17,114.1,66.9,1
33.9,452,-102,1.1,284,-24.3,24.9,3,108.5,22.4,1
33.9,457,-115,5.5,306,-16.6,96.2,-1,122.9,29,0
33.9,455,-119,3.4,298,-22,96.2,16,113.5,76.8,1
33.9,459,-104.3,3.6,285,-23.5,31.7,15,120.3,67.9,0
33.9,463,-116.2,4.4,283,-25.3,106.9,22,123,72.7,0
33.9,467,-122.2,0.2,271,-21,15.6,26,124.9,15.4,0
33.9,472,-119.1,6.1,287,-22.7,34.7,17,120.5,56.8,0
33.9,479,-124.4,3.2,303,-23.5,111.6,18,115.7,72.1,1
33.9,480,-116.1,0.4,298,-23.9,51,22,109.8,15.1,1
33.9,490,-128.5,0.6,283,-21.8,109.6,13,121.8,14.8,0
33.9,494,-129.3,1.5,279,-26.6,98.4,17,126.8,32.5,0
33.9,501,-116.8,2.3,280,-20.4,33,12,115.2,22.8,1
33.9,501,-122.1,0.3,289,-23.5,56.8,27,115.1,13.3,1
33.9,509,-128.7,4.2,283,-24.9,131.6,46,127.2,16.6,0
33.9,517,-120.2,1.6,294,-26.4,127.3,24,110.9,22.8,1
33.9,523,-120.2,3.1,293,-22.4,102.3,13,114,77.1,1
33.9,532,-130.4,5.3,280,-25.5,38.7,1,118.8,12.9,1
33.9,534,-146.1,4.7,293,-24.7,27.4,13,108.3,11.7,1
33.9,538,-136.3,0.8,294,-21.9,35.5,19,113.4,19.2,1
33.9,547,-129.1,1.9,291,-21.8,10.2,9,118.5,25,1
33.9,556,-141.4,2.5,288,-21.9,112.1,-1,122.8,21.3,0
33.9,558,-127.1,3.9,296,-21.1,23.9,10,98.4,3.3,1
33.9,567,-144.5,4.1,278,-22.9,103.6,2,121.6,5.8,0
33.9,569,-150.6,4.4,285,-27.3,95.2,14,128.2,48.8,0
33.9,581,-135.8,5.3,299,-24.7,16.6,-4,95.9,2.8,1
33.9,583,-135.9,2.3,289,-25.4,38.3,10,114,14.7,1
33.9,589,-140,2.7,298,-28.4,41.1,11,113.7,19.9,1
33.9,596,-143.7,2.6,271,-25.6,88,8,129.9,10.3,0
33.9,764,-160,1.2,283,-17.3,30.8,17,120.2,35.6,0
33.9,770,-159.7,4,284,-24.3,57.7,7,126.8,17.6,0
33.9,769,-160,5.8,297,-18.1,108.8,32,114.9,77.9,1
33.9,776,-160,6.1,287,-19.8,118.2,22,122.9,22.9,0
33.9,779,-160,5.8,274,-18.8,48.6,14,119.4,2.9,1
33.9,780,-160,2.5,275,-21.9,29.2,32,101.2,0.3,1
33.9,790,-160,2.1,258,-20.9,24.3,13,129.3,9.3,0
33.9,794,-160,4,274,-20.9,117.1,22,121.2,4.5,0
33.9,799,-160,4.3,296,-26.4,109.7,21,107.1,52.9,1
33.9,810,-160,3.5,287,-26.2,34.3,-1,110.8,11.8,1
33.9,810,-160,2.8,277,-23.8,41.5,12,117.2,6.6,1
33.9,818,-160,4.9,285,-22,27.5,6,108.5,16.6,1
33.9,821,-160,0.2,285,-18.4,87.1,14,123.2,11.2,0
33.9,825,-160,2.3,285,-24.7,108.5,26,118.8,55.1,1
33.9,840,-160,1.4,291,-24.6,47.5,-8,119.1,27.5,1
33.9,837,-160,0.3,289,-22.7,118.9,26,121.2,25.8,0
33.9,843,-160,2.9,284,-23.1,108,20,121.8,75.4,0
33.9,114,-41.9,3.5,10,-18.4,186.2,19,71.9,0.1,1
33.9,118,-59.8,1.1,300,-24.8,23.4,1,89.7,1.7,1
33.9,118,-66.4,5.6,318,-26.7,147.8,18,93.9,14,1
33.9,121,-70.3,4.2,11,-15.6,168.7,12,98.5,3.1,1
33.9,115,-66.6,1.8,293,-19.7,43.9,29,96.6,1.4,1
33.9,124,-57.9,2.3,352,-16.9,35.9,7,87.9,0.2,1
33.9,129,-67.5,6.2,320,-22.2,146.4,19,94.3,12.9,1
33.9,135,-61.4,0.1,0,-12.5,189.2,29,91,6.3,1
33.9,136,-56.1,0.1,318,-26.2,136.9,11,85.9,4,1
33.9,142,-61.9,4.3,308,-21,34.8,-2,91.9,1.5,1
33.9,130,-58.4,5.9,278,-17.3,28.2,40,88.4,0.1,1
33.9,153,-69.4,6,321,-23.4,114.7,-15,99.3,2.8,1
33.9,145,-72.9,6.3,322,-26.2,108.9,10,102.6,4.1,1
33.9,152,-89.6,5,342,-26.4,181.5,26,110.6,14.1,1
33.9,151,-74.9,2.3,341,-27,157.8,19,103.7,5.7,1
33.9,157,-64.5,1,318,-23.7,143.5,12,89.9,11.5,1
33.9,162,-74.2,0.8,336,-18.3,32,0,104.1,5.2,1
33.9,162,-66.3,4.7,303,-32,134.5,14,96.2,2.7,1
33.9,164,-67.9,4.3,341,-23.7,164.6,26,97.8,1.8,1
33.9,167,-78.3,4.4,304,-31,140.8,22,105.4,7,1
33.9,167,-75.6,1.4,318,-22.7,130.7,29,105.2,8.8,1
33.9,174,-68.7,3.7,323,-13.4,103.9,8,98.7,1.9,1
33.9,276,-70.6,3.3,299,-24.7,106.3,24,100.5,18.4,1
33.9,444,-104.7,0.3,300,-23.6,116.6,16,116.6,83.3,1
33.9,451,-105.1,1.1,284,-24.5,24.7,3,118.3,48,1
33.9,457,-111.5,5.5,310,-16.8,99,-1,122.5,38.1,0
33.9,454,-117.7,3.3,301,-22.5,99,15,115.3,75.3,1
33.9,458,-120.1,3.5,288,-24,31.1,14,123.8,47.8,0
33.9,463,-108.2,4.2,285,-25.7,108.8,21,124.9,93.6,0
33.9,466,-111.1,0,271,-21.1,15.3,26,125.3,54.9,0
33.9,471,-110,5.9,289,-23.1,34.3,16,123.7,58.2,0
33.9,478,-116.8,3.1,307,-23.8,114.8,18,117.3,73.7,1
33.9,479,-106.1,0.2,300,-24.1,51.3,21,116.1,46.5,1
33.9,490,-119.2,0.5,285,-22.4,112.4,12,124.9,34.2,0
33.9,493,-116.9,1.4,281,-27.1,100.1,17,127.6,55.5,0
33.9,500,-116.4,2.2,280,-20.5,32.9,12,117.6,15.8,1
33.9,499,-112.2,6.3,289,-23.5,56.8,27,120.6,34.3,0
33.9,509,-121.2,4,284,-25.2,133.8,46,127.7,28.2,0
33.9,516,-115.1,1.5,296,-26.8,130.4,24,117.2,35.3,1
33.9,522,-132.6,3,295,-22.6,103.7,13,116.2,74.2,1
33.9,532,-127.4,5.3,280,-25.6,38.6,1,119.8,11.4,1
33.9,533,-132.2,4.6,296,-25,26.8,13,111.1,14.6,1
33.9,537,-128.4,0.7,295,-22,35.4,19,116.7,26,1
33.9,547,-138.8,1.9,294,-22.1,8.8,8,122,34.5,0
33.9,556,-122.8,2.5,289,-22.1,113.5,-1,125.8,28.7,0
33.9,558,-147.7,3.8,298,-21.3,23.2,10,101.9,4.9,1
33.9,567,-138.2,4.1,281,-23.6,105.8,2,122.8,14.5,0
33.9,569,-139.5,4.3,288,-27.9,97.3,14,128.7,47.5,0
33.9,581,-144.9,5.3,299,-24.8,16.3,-4,98.5,4,1
33.9,582,-141.8,2.2,289,-25.5,38.2,10,118.8,16.7,1
33.9,588,-134.9,2.6,300,-28.6,41.1,10,117.8,30.5,1
33.9,596,-153.6,2.6,272,-26.1,89.3,8,128.5,10.1,0
33.9,763,-157.2,1.1,283,-17.3,30.7,17,120.9,16.7,0
33.9,769,-157.4,3.9,286,-24.2,59,7,127.6,14.2,0
33.9,767,-160,5.6,298,-18.2,110,32,114.9,57.6,1
33.9,775,-160,6,288,-19.9,119.3,22,125.5,36.5,0
33.9,779,-160,5.7,275,-19.1,48.7,14,119.5,4.3,1
33.9,778,-160,2.2,275,-22,29,32,101,0.5,1
33.9,790,-160,2,258,-21,24.2,13,129.6,8.5,0
33.9,794,-160,3.9,275,-21.2,118.3,22,121.3,8.8,0
33.9,798,-160,4.2,297,-26.5,110.7,21,104.9,26,1
33.9,810,-160,3.6,288,-26.5,34.1,-1,116.7,14.6,1
33.9,810,-160,2.7,277,-23.8,41.5,12,120.7,7.4,0
33.9,817,-160,4.9,287,-22.3,27,6,114.7,22.3,1
33.9,820,-160,0.1,286,-18.6,87.9,14,124.8,9.6,0
33.9,824,-160,2.1,286,-24.9,109.5,26,122.2,72.6,0
33.9,840,-160,1.5,292,-24.8,47.7,-8,123.4,35.1,0
33.9,837,-160,0.2,290,-22.8,120,26,125,50.1,0
33.9,842,-160,2.8,285,-23.3,109,20,124.1,86.7,0
33.9,115,-61.1,3.6,18,-15,195.4,22,91.1,0.9,1
33.9,118,-60.1,1.1,302,-25.2,22.3,1,90,3.5,1
33.9,118,-58.1,5.6,323,-26.4,152.4,18,86.5,5.7,1
33.9,121,-48.7,4.2,19,-12.6,180.4,14,78.7,0.1,1
33.9,113,-58.9,1.5,294,-20,43.4,29,88.9,0.3,1
33.9,124,-59.3,2.3,357,-15.6,35.1,6,89.3,0.8,1
33.9,129,-58.5,6.2,324,-21.9,150.6,19,86.6,5.8,1
33.9,136,-64.8,0.3,8,-10.9,196.8,33,94.8,1.3,1
33.9,135,-58.2,0,323,-25.9,141.3,11,88.1,3,1
33.9,142,-49.2,4.3,310,-21.1,34.1,-2,79.2,0.3,1
33.9,128,-51.4,5.6,279,-17.6,27.4,40,81.4,0,1
33.9,153,-71.3,6.1,325,-23.1,119.1,-14,101,5.5,1
33.9,145,-67.2,6.2,327,-25.8,113.5,10,97.1,3.1,1
33.9,153,-60.5,5.1,351,-24.7,188.9,29,90.5,0.4,1
33.9,152,-64.5,2.3,351,-25.1,167.8,20,94.5,1,1
33.9,157,-72.1,1,322,-23.5,147,12,90.4,9.6,1
33.9,162,-69.8,0.8,342,-17.5,30.9,0,99.4,5.9,1
33.9,161,-64.6,4.7,308,-32.3,138.8,14,94.5,1.8,1
33.9,164,-77.1,4.4,350,-22.2,173.6,28,103.3,6.5,1
33.9,167,-71.8,4.4,309,-31.2,144.8,22,100.6,5.4,1
33.9,166,-60,1.3,322,-22.5,134.9,29,90,2.3,1
33.9,173,-67.3,3.7,327,-12.2,110.5,8,97.2,2.2,1
33.9,275,-72.7,3.1,303,-25,109.2,23,102.5,30.7,1
33.9,444,-116.7,0.3,304,-24,120,16,113.6,44.2,1
33.9,451,-107.8,1.1,285,-24.6,24.4,3,116.7,30.1,1
33.9,457,-106.7,5.5,312,-16.4,101.5,-1,112.1,18.9,1
33.9,453,-108.9,3.2,305,-22.8,101.9,14,111.5,50,1
33.9,458,-116.4,3.3,290,-24.4,30.6,14,121.2,26.2,0
33.9,462,-118.3,4.1,287,-26.1,110.7,21,124.4,54.3,0
33.9,465,-104.5,6.1,271,-21.3,15,25,120.1,62.8,0
33.9,471,-118.3,5.8,292,-23.5,33.9,16,119.9,21.4,1
33.9,477,-119,3,310,-24,118,17,109.9,28,1
33.9,478,-119.6,0,302,-24.3,51.7,20,112.8,20.7,1
33.9,490,-116.6,0.5,288,-23,115.2,12,120.4,25.7,0
33.9,493,-126.7,1.3,283,-27.6,101.8,16,124.7,19.5,0
33.9,499,-107.6,2.1,280,-20.6,32.7,12,112.3,20.3,1
33.9,498,-123.5,6,289,-23.6,56.7,27,115.3,6.5,1
33.9,508,-127.6,3.9,286,-25.5,136,46,123.6,10.8,0
33.9,516,-128.4,1.4,299,-27.3,133.4,24,116.6,28,1
33.9,522,-132.6,2.9,297,-22.8,105.2,13,116.9,71.8,1
33.9,532,-140.3,5.3,280,-25.6,38.5,1,111.2,6.3,1
33.9,532,-132.1,4.5,298,-25.3,26.2,12,110.3,9.9,1
33.9,536,-132.7,0.5,295,-22.1,35.2,19,108.2,5,1
33.9,547,-142.1,1.8,296,-22.4,7.5,8,118.5,17.2,1
33.9,556,-139,2.5,291,-22.3,115,-1,120.3,10.8,0
33.9,557,-134.3,3.7,300,-21.5,22.4,10,101.6,4.4,1
33.9,567,-138.1,4.1,283,-24.2,108,2,118.4,9.1,1
33.9,568,-126.8,4.2,290,-28.5,99.5,13,127.5,28,0
33.9,582,-151.3,5.3,300,-24.9,16,-4,97.8,2.9,1
33.9,582,-143.2,2.1,289,-25.5,38.1,10,119.3,14.1,1
33.9,587,-149.8,2.5,302,-28.8,41,10,114.9,18.5,1
33.9,595,-150.9,2.5,274,-26.6,90.6,7,123.7,4.9,0
33.9,762,-160,0.9,284,-17.4,30.5,17,113.9,12.4,1
33.9,769,-160,3.9,288,-24,60.3,7,122.7,9.1,0
33.9,766,-158.4,5.4,299,-18.3,111.1,32,115.9,76.6,1
33.9,775,-160,5.9,289,-20,120.4,22,120.1,15.1,0
33.9,778,-160,5.5,276,-19.4,48.9,13,112.4,1.4,1
33.9,777,-160,2,275,-22,28.9,32,93.4,0.2,1
33.9,789,-160,1.9,258,-21,24.1,13,131.2,12.1,0
33.9,793,-160,3.8,276,-21.4,119.4,22,114.4,4.5,1
33.9,797,-157.4,4.1,298,-26.6,111.7,21,107,33.6,1
33.9,810,-160,3.6,290,-26.8,33.8,-1,108.9,6.4,1
33.9,809,-160,2.6,277,-23.8,41.4,12,116.2,8.3,1
33.9,817,-160,4.8,288,-22.5,26.6,6,115.7,19.9,1
33.9,819,-160,6.2,288,-18.8,88.8,14,119.1,7.5,1
33.9,823,-160,2,287,-25.1,110.6,25,123.3,53,0
33.9,840,-160,1.6,294,-25,47.8,-8,120.7,14.8,0
33.9,836,-160,0.1,291,-23,121,26,120.5,24.3,0
33.9,842,-160,2.6,286,-23.5,110,20,120.4,32.4,0
34,116,-54.9,3.8,25,-12,202.9,27,84.9,0.4,1
34,118,-48,1.1,304,-25.5,21,1,78,0.5,1
34,118,-48.5,5.6,328,-26,156.4,19,77.7,5.3,1
34,121,-67.2,4.3,26,-10.1,190.2,16,97.1,0.8,1
34,112,-49.7,1.2,295,-20.3,43,28,79.7,0.1,1
34,123,-46.7,2.2,3,-14.2,34.2,6,76.7,0.1,1
34,129,-52.2,6.2,328,-21.6,154.4,20,78.8,6.6,1
34,138,-61.1,0.5,15,-9.3,203.2,39,91.1,1.5,1
34,135,-54,0,328,-25.5,145.3,11,83.3,7.5,1
34,142,-60.3,4.3,312,-21.3,33.5,-2,90.2,3.8,1
34,126,-56.7,5.3,280,-17.9,26.5,39,86.7,0.1,1
34,154,-57.6,6.2,330,-22.7,123.4,-14,87.5,3,1
34,145,-56.4,6.1,332,-25.3,117.9,10,86.4,1.9,1
34,154,-59.3,5.3,360,-22.5,195.5,33,89.3,0.6,1
34,152,-58.4,2.4,0,-22.7,177,22,88.3,1.2,1
34,157,-58.4,1,325,-23.2,150.3,12,83.4,14.9,1
34,162,-65.1,0.8,348,-16.6,29.7,0,95,5.8,1
34,161,-70.8,4.7,313,-32.4,142.7,14,99.6,6,1
34,165,-69.6,4.5,358,-20.3,181.8,30,99.4,2.4,1
34,167,-63.9,4.4,313,-31.3,148.6,22,93.8,4.8,1
34,166,-73.5,1.2,326,-22.3,138.9,29,102,18.3,1
34,173,-64.1,3.6,331,-11,116.9,9,94,4.1,1
34,275,-68.2,3,306,-25.2,112.1,23,97.8,45.3,1
34,444,-108.2,0.2,307,-24.3,123.4,16,108.6,41.7,1
34,451,-109.4,1,285,-24.7,24.2,3,109.2,11.5,1
34,457,-109.1,5.5,314,-15.9,103.9,-1,122.2,47.8,0
34,453,-113.7,3.1,309,-23.1,105,14,109.5,66.9,1
34,457,-104.6,3.2,293,-24.9,30,13,110.7,23.6,1
34,461,-115.5,4,289,-26.4,112.5,21,119,53.4,1
34,464,-102.6,6,271,-21.4,14.7,25,124.5,123,0
34,470,-112.7,5.6,295,-23.9,33.5,15,109.9,18.3,1
34,477,-110.8,2.9,314,-24.2,121.3,17,114.7,66.4,1
34,477,-113.6,6.1,305,-24.5,52,19,106.4,14.2,1
34,489,-108.9,0.4,291,-23.6,118.1,12,111.6,24.3,1
34,492,-108.2,1.2,285,-28,103.5,16,126.2,92.7,0
34,499,-124.1,2,281,-20.6,32.6,12,110.8,3.9,1
34,496,-114.3,5.7,289,-23.6,56.6,27,108.8,6.8,1
34,508,-119.8,3.8,287,-25.8,138.1,47,120.5,15.4,0
34,515,-125.1,1.3,302,-27.7,136.5,24,108.7,14.9,1
34,521,-128.5,2.8,298,-23,106.7,13,109,38.8,1
34,532,-137.8,5.3,280,-25.7,38.4,1,111.2,5.3,1
34,532,-119.5,4.4,301,-25.5,25.5,12,98,4,1
34,535,-124.4,0.3,295,-22.2,35.1,19,97.1,2.5,1
34,547,-125.6,1.8,299,-22.7,6.1,8,109.2,9.3,1
34,556,-129.2,2.5,292,-22.5,116.4,-1,111.4,7.1,1
34,557,-136.6,3.7,303,-21.7,21.6,9,89.3,1.4,1
34,567,-139.6,4.1,285,-24.8,110.3,2,121.1,16,0
34,567,-138.6,4.1,293,-29.1,101.7,13,118.4,15.4,1
34,582,-140.3,5.4,300,-25,15.7,-4,85.9,0.8,1
34,581,-142.7,2,289,-25.6,38,10,109.9,8,1
34,587,-143,2.4,304,-29,41,10,108.1,12.8,1
34,595,-139.5,2.4,275,-27.1,91.8,7,126.8,10,0
34,761,-155.2,0.8,284,-17.4,30.4,17,117,7.6,1
34,769,-157.2,3.8,289,-23.9,61.6,6,115.4,4.2,1
34,765,-160,5.2,300,-18.3,112.3,32,110.2,68,1
34,774,-160,5.8,290,-20.2,121.5,22,112.6,9.4,1
34,777,-160,5.4,278,-19.7,49.1,13,117.3,3.2,1
34,775,-155.6,1.7,275,-22.1,28.8,32,98.6,0.4,1
34,789,-160,1.8,258,-21.1,24,13,122.2,6.4,0
